Email_ID,Email_Text,Sender,Subject,Message_Length,Number_of_Links,Number_of_Special_Characters,Number_of_Capital_Letters,Label
EML00012,"Exclusive deal available for 24 hours only a refund of your recent purchase. Please confirm your credit card number and CVV to process the refund. Reply immediately to http://job-offer-cash.click/apply with your bank details. 100% guaranteed, no risk involved!",support@bank-security-alert.info,URGENT: Verify Your Account Now,260,1,2,6,Ham
EML00013,"Your package could not be delivered an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Download now: http://get-rich-quick.top/offer Time is running out, claim your reward TODAY.",deals@discount-mega-sale.club,"You Have WON $1,000,000!!!",243,1,2,9,Ham
EML00014,URGENT: Your account requires immediate action we noticed unusual activity on your account and recommend confirming your details as a precaution. Reply immediately to http://job-offer-cash.click/apply with your bank details.,no-reply@free-money-fast.biz,Work From Home - Earn $5000/Week,224,1,0,8,Ham
EML00015,"Hi Professor, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Thanks and regards,",team@workplace.net,Invoice for Last Month,147,0,0,5,Spam
EML00016,"Good morning, Could you please share  the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Best regards, Ananya Iyer",admin@office-portal.com,Invoice for Last Month,162,0,0,6,Spam
EML00017,"URGENT: Your account requires immediate action our records show your subscription is about to expire, please update your payment information soon. Visit http://free-money-fast.biz/claim to proceed immediately. 100% guaranteed, no risk involved!",support@bank-security-alert.info,Congratulations Lucky Winner,244,1,2,8,Ham
EML00018,"Dear Manager, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Best regards, Divya Krishnan",accounts@finance-services.com,Invoice for Last Month,165,0,0,7,Spam
EML00019,"FINAL NOTICE regarding your payment verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Visit http://free-money-fast.biz/claim to proceed immediately. 100% guaranteed, no risk involved!",offers@luxury-deals-cheap.shop,Work From Home - Earn $5000/Week,252,1,2,13,Ham
EML00020,Claim your FREE reward now we noticed unusual activity on your account and recommend confirming your details as a precaution. Visit http://free-money-fast.biz/claim to proceed immediately.,winner@international-lottery.org,URGENT: Verify Your Account Now,188,1,0,6,Ham
EML00021,"Exclusive deal available for 24 hours only a business proposal that may interest you, kindly review the attached document and share your thoughts.",no-reply@free-money-fast.biz,Work From Home - Earn $5000/Week,146,0,0,1,Ham
EML00022,"Dear Manager, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Thanks and regards, Vikram Singh",support@onlinestore.com,Minutes of the Meeting,163,0,0,11,Spam
EML00023,URGENT: Your account requires immediate action a refund of your recent purchase. Please confirm your credit card number and CVV to process the refund. Call our toll-free hotline NOW or click http://winner-notification.club/claim Don't miss this once in a lifetime opportunity!,offers@luxury-deals-cheap.shop,"You Have WON $1,000,000!!!",276,1,1,16,Ham
EML00024,"Exclusive deal available for 24 hours only a cash prize of $1,000,000 in our international lottery. Send your bank details to process the transfer immediately. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! 100% guaranteed, no risk involved!",winner@international-lottery.org,FREE iPhone 15 Pro - Claim Now,267,1,6,3,Ham
EML00025,"Good morning, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Warm regards, Suresh Kumar",team@workplace.net,Syllabus for Upcoming Semester,159,0,0,6,Spam
EML00026,"Limited Time Offer just for YOU a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Follow this link http://secure-bank-verify.info/login to verify. This offer will not be repeated. Act NOW!!!",deals@discount-mega-sale.club,Exclusive Investment Opportunity,258,1,4,13,Ham
EML00027,"Dear Customer, Could you please share the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Warm regards, Vikram Singh",manager@projectteam.org,Syllabus for Upcoming Semester,163,0,0,7,Spam
EML00028,CONGRATULATIONS! You have been selected a chance to win a brand new car by simply clicking the link and filling out a short form with your details. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Don't miss this once in a lifetime opportunity!,support@bank-security-alert.info,URGENT: Verify Your Account Now,268,1,5,18,Ham
EML00029,"Hi Professor, As a valued customer, enjoy 20% off your next purchase with code SAVE20. Warm regards, Rahul Verma",team@workplace.net,Weekly Team Meeting Reminder,112,0,1,10,Spam
EML00030,"Limited Time Offer just for YOU our records show your subscription is about to expire, please update your payment information soon. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Hurry! Only a few slots remaining!!!",admin@account-verification.site,"You Have WON $1,000,000!!!",241,1,7,9,Ham
EML00031,"CONGRATULATIONS! You have been selected a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Download now: http://get-rich-quick.top/offer",hr@work-from-home-jobs.top,"You Have WON $1,000,000!!!",185,1,2,18,Ham
EML00032,"Limited Time Offer just for YOU an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Visit http://free-money-fast.biz/claim to proceed immediately. Don't miss this once in a lifetime opportunity!",deals@discount-mega-sale.club,"You Have WON $1,000,000!!!",258,1,3,9,Ham
EML00033,"Hi Team, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Regards, Sneha Nair",priya.sharma@company.com,Appointment Confirmation,145,0,0,11,Spam
EML00034,"Hi John, Don't miss our end of season sale, discounts available this week only. Best regards, Priya Sharma",support@onlinestore.com,Scheduled System Maintenance,106,0,0,6,Spam
EML00035,"Act now before it's too late an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Click here now: http://claim-your-prize-now.win/reward This offer will not be repeated. Act NOW!!!",offers@luxury-deals-cheap.shop,Exclusive Investment Opportunity,240,1,4,8,Ham
EML00036,"Hello, We have a special offer just for our newsletter subscribers this month. Sincerely, Arjun Menon",team@workplace.net,Appointment Confirmation,101,0,0,5,Spam
EML00037,"Hey, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Warm regards, Meera Pillai",rahul.verma@university.edu,Quarterly Report Attached,150,0,0,6,Spam
EML00038,"Hi Team, Please find attached  the quarterly report for your review. Let me know if you have any questions or need further clarification. Thanks and regards, Ananya Iyer",accounts@finance-services.com,Project Timeline Update,169,0,0,7,Spam
EML00039,"Hi Professor, Please review the attached minutes of the meeting and let me know if any corrections are needed before we circulate them. Regards, Meera Pillai",rahul.verma@university.edu,Project Timeline Update,157,0,0,6,Spam
EML00040,"You are our lucky visitor today an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Click here now: http://claim-your-prize-now.win/reward Hurry! Only a few slots remaining!!!",offers@luxury-deals-cheap.shop,"You Have WON $1,000,000!!!",239,1,6,5,Ham
EML00041,"Hello, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Thank you, Sneha Nair",professor.rao@college.edu,Minutes of the Meeting,156,0,0,6,Spam
EML00042,"Good morning, I am writing to confirm our appointment scheduled for next Monday at 3 PM. Please let me know if this time still works for you. Regards, Meera Pillai",admin@office-portal.com,Minutes of the Meeting,163,0,0,9,Spam
EML00043,Winner Notification: You have WON a refund of your recent purchase. Please confirm your credit card number and CVV to process  the refund. Reply immediately to http://job-offer-cash.click/apply with your bank details. Hurry! Only a few slots remaining!!!,support@bank-security-alert.info,Limited Time Offer - 90% OFF,254,1,4,13,Ham
EML00044,"Exclusive deal available for 24 hours only a cash prize of $1,000,000 in our international lottery. Send your bank details to process the transfer immediately. Download now: http://get-rich-quick.top/offer 100% guaranteed, no risk involved!",winner@international-lottery.org,FINAL NOTICE: Account Suspension,240,1,3,3,Ham
EML00045,"Winner Notification: You have WON we noticed unusual activity on your account and recommend confirming your details as a precaution.  Time is running out, claim your reward TODAY.",no-reply@free-money-fast.biz,Exclusive Investment Opportunity,179,0,0,12,Ham
EML00046,"Good morning, Please review the attached minutes of the meeting and let me know if any corrections are needed before we circulate them. Regards, Ananya Iyer",noreply@shipping-service.com,Weekly Team Meeting Reminder,156,0,0,5,Spam
EML00047,"Dear Manager, Your subscription renewal is due soon, click here to manage your account. Regards, Divya Krishnan",manager@projectteam.org,Invoice for Last Month,111,0,0,6,Spam
EML00048,"Hello, Your order has been shipped and is expected to arrive within 3-5 business days. Track your shipment using the order ID provided. Thank you, Karthik Raj",priya.sharma@company.com,Meeting Follow-up,158,0,0,8,Spam
EML00049,"Dear Manager, I am writing to confirm our appointment scheduled for next Monday at 3 PM. Please let me know if this time still works for you. Thanks and regards, Sneha Nair",support@onlinestore.com,Minutes of the Meeting,172,0,0,10,Spam
EML00050,"Good morning, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Thank you, Vikram",rahul.verma@university.edu,Appointment Confirmation,159,0,0,5,Spam
EML00051,"Hi Professor, I am writing to confirm our appointment scheduled for next Monday at 3 PM. Please let me know if this time still works for you. Thanks and regards, Arjun Menon",accounts@finance-services.com,Syllabus for Upcoming Semester,173,0,0,10,Spam
EML00052,"Hello Everyone, Your order has been shipped and is expected to arrive within 3-5 business days. Track your shipment using the order ID provided. Looking forward to your reply, Ananya Iyer",hr@techsolutions.com,Scheduled System Maintenance,187,0,0,9,Spam
EML00053,Claim your FREE reward now a brand new iPhone 15 Pro absolutely free of cost. Click the link below to claim your prize before it expires! Follow this link http://secure-bank-verify.info/login to verify.,hr@work-from-home-jobs.top,URGENT: Verify Your Account Now,202,1,1,9,Ham
EML00054,"Hello, Limited seats left for our upcoming webinar, register using the link below. Looking forward to your reply, Divya Krishnan",hr@techsolutions.com,Appointment Confirmation,128,0,0,5,Spam
EML00055,CONGRATULATIONS! You have been selected a refund of your recent purchase. Please confirm your credit card number and CVV to process the refund. Follow this link http://secure-bank-verify.info/login to verify. Hurry! Only a few slots remaining!!!,hr@work-from-home-jobs.top,Claim Your FREE Reward Today,245,1,5,23,Ham
EML00056,"Good morning, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Sincerely, Suresh Kumar",professor.rao@college.edu,Weekly Team Meeting Reminder,160,0,0,6,Spam
EML00057,CONGRATULATIONS! You have been selected verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Call our toll-free hotline NOW or click http://winner-notification.club/claim Hurry! Only a,admin@account-verification.site,Limited Time Offer - 90% OFF,250,1,2,23,Ham
EML00058,Exclusive deal available for 24 hours only we noticed unusual activity on your account and recommend confirming your details as a precaution. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!!,support@bank-security-alert.info,Work From Home - Earn $5000/Week,214,1,3,2,Ham
EML00059,Limited Time Offer just for YOU access to premium software completely free. Download the attached file now to activate your license. Confirm here: http://account-alert-update.site/confirm Hurry! Only a few slots remaining!!!,hr@work-from-home-jobs.top,URGENT: Verify Your Account Now,224,1,4,10,Ham
EML00060,"Dear Sir/Madam, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Looking forward to your reply, Karthik Raj",support@onlinestore.com,Project Timeline Update,186,0,0,8,Spam
EML00061,"FINAL NOTICE regarding your payment we noticed unusual activity on your account and recommend confirming your details as a precaution. Download now: http://get-rich-quick.top/offer Time is running out, claim your reward TODAY.",no-reply@free-money-fast.biz,Exclusive Investment Opportunity,226,1,0,18,Ham
EML00062,"Dear Customer, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Best regards, Arjun Menon",team@workplace.net,Your Order Has Been Shipped,163,0,0,7,Spam
EML00063,"Hi John, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Warm regards, Meera Pillai",hr@techsolutions.com,Appointment Confirmation,149,0,0,7,Spam
EML00064,"Hi Team, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Warm regards, Sneha Nair",admin@office-portal.com,Your Order Has Been Shipped,152,0,0,7,Spam
EML00065,Act now before it's too late access to premium software completely free. Download the attached file now to activate your license. Reply immediately to http://job-offer-cash.click/apply with your bank details. Hurry! Only a few slots remaining!!!,hr@work-from-home-jobs.top,Congratulations Lucky Winner,245,1,4,5,Ham
EML00066,"Hello, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Sincerely, Suresh Kumar",accounts@finance-services.com,Quarterly Report Attached,147,0,0,10,Spam
EML00067,"Dear Manager, I would like to schedule a call to discuss the recent changes in the project scope. Please let me know your availability this week. Looking forward to your reply, Meera Pillai",rahul.verma@university.edu,Your Order Has Been Shipped,189,0,0,7,Spam
EML00068,"Claim your FREE reward now a brand new iPhone 15 Pro absolutely free of cost. Click the link below to claim your prize before it expires! Follow this link http://secure-bank-verify.info/login to verify. Time is running out, claim your reward TODAY.",deals@discount-mega-sale.club,Congratulations Lucky Winner,248,1,1,15,Ham
EML00069,"Hello Everyone, This is a reminder that our team meeting is scheduled for tomorrow at 10 AM in  the conference room. Please come prepared. Regards, Meera Pillai",hr@techsolutions.com,Weekly Team Meeting Reminder,160,0,0,9,Spam
EML00070,"Dear Manager, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Regards, Divya Krishnan",manager@projectteam.org,Meeting Follow-up,154,0,0,11,Spam
EML00071,"Winner Notification: You have WON a business proposal that may interest you, kindly review the attached document and share your thoughts. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Hurry! Only a few slots remaining!!!",prizeteam@lottery-winners.win,Your Refund Is Waiting,247,1,7,9,Ham
EML00072,Exclusive deal available for 24 hours only your recent order requires additional verification before it can be processed further. Visit http://free-money-fast.biz/claim to proceed immediately. This offer will not be repeated. Act NOW!!!,hr@work-from-home-jobs.top,Limited Time Offer - 90% OFF,236,1,3,7,Ham
EML00073,Winner Notification: You have WON your recent order requires additional verification before it can be processed further. Call our toll-free hotline NOW or click http://winner-notification.club/claim This offer will not be repeated. Act NOW!!!,prizeteam@lottery-winners.win,"You Have WON $1,000,000!!!",242,1,3,15,Ham
EML00074,"Limited Time Offer just for YOU a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! This offer will not be repeated. Act NOW!!!",support@bank-security-alert.info,Limited Time Offer - 90% OFF,248,1,7,13,Ham
EML00075,"FINAL NOTICE regarding your payment your recent order requires additional verification before it can be processed further. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! 100% guaranteed, no risk involved!",deals@discount-mega-sale.club,Claim Your FREE Reward Today,230,1,5,12,Ham
EML00076,CONGRATULATIONS! You have been selected a brand new iPhone 15 Pro absolutely free of cost. Click the link below to claim your prize before it expires! Download now: http://get-rich-quick.top/offer This offer will not be repeated. Act NOW!!!,hr@work-from-home-jobs.top,Exclusive Investment Opportunity,240,1,5,25,Ham
EML00077,Exclusive deal available for 24 hours only a chance to win a brand new car by simply clicking  the link and filling out a short form with your details. Call our toll-free hotline NOW or click http://winner-notification.club/claim Don't miss this once in a lifetime opportunity!,hr@work-from-home-jobs.top,FINAL NOTICE: Account Suspension,277,1,1,6,Ham
EML00078,"Hello, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Looking forward to your reply, Sneha Nair",noreply@shipping-service.com,Your Order Has Been Shipped,165,0,0,10,Spam
EML00079,"Hello Everyone, Could you please share the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Thank you, Karthik Raj",team@workplace.net,Invoice for Last Month,160,0,0,7,Spam
EML00080,"Dear Customer, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Thanks and regards, Divya Krishnan",manager@projectteam.org,Syllabus for Upcoming Semester,166,0,0,11,Spam
EML00081,"Good morning, This is a reminder that our team meeting is scheduled for tomorrow at 10 AM in the conference room. Please come prepared. Warm regards, Meera Pillai",accounts@finance-services.com,Meeting Follow-up,162,0,0,8,Spam
EML00082,"Dear Sir/Madam, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Best regards, Karthik Raj",manager@projectteam.org,Scheduled System Maintenance,164,0,0,8,Spam
EML00083,"Hello Everyone, Please review the attached minutes of the meeting and let me know if any corrections are needed before we circulate them. Looking forward to your reply, Vikram Singh",noreply@shipping-service.com,Your Order Has Been Shipped,181,0,0,6,Spam
EML00084,Limited Time Offer just for YOU a chance to win a brand new car by simply clicking the link and filling out a short form with your details. Follow this link http://secure-bank-verify.info/login to verify. Don't miss this once in a lifetime opportunity!,prizeteam@lottery-winners.win,URGENT: Verify Your Account Now,252,1,1,8,Ham
EML00085,"Dear Sir/Madam, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Warm regards, Arjun Menon",support@onlinestore.com,Syllabus for Upcoming Semester,155,0,0,8,Spam
EML00086,"FINAL NOTICE regarding your payment a business proposal that may interest you, kindly review the attached document and share your thoughts. Reply immediately to http://job-offer-cash.click/apply with your bank details. 100% guaranteed, no risk involved!",deals@discount-mega-sale.club,Exclusive Investment Opportunity,253,1,2,12,Ham
EML00087,"Claim your FREE reward now an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Follow this link http://secure-bank-verify.info/login to verify. Hurry! Only a few slots remaining!!!",offers@luxury-deals-cheap.shop,FINAL NOTICE: Account Suspension,241,1,5,9,Ham
EML00088,"CONGRATULATIONS! You have been selected a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Click here now: http://claim-your-prize-now.win/reward This offer will not be repeated. Act NOW!!!",winner@international-lottery.org,"You Have WON $1,000,000!!!",256,1,5,23,Ham
EML00089,"Dear Customer, I hope this email finds you well. I wanted to follow up on the meeting we had last week regarding the project timeline. Thank you, Meera Pillai",priya.sharma@company.com,Scheduled System Maintenance,158,0,0,7,Spam
EML00090,"Hi John, Your order has been shipped and is expected to arrive within 3-5 business days. Track your shipment using the order ID provided. Kind regards, Divya Krishnan",noreply@shipping-service.com,Meeting Follow-up,166,0,0,9,Spam
EML00091,"Hello Everyone, I am writing to confirm our appointment scheduled for next Monday at 3 PM. Please let me know if this time still works for you. Warm regards, Vikram Singh",rahul.verma@university.edu,Meeting Follow-up,170,0,0,10,Spam
EML00092,"CONGRATULATIONS! You have been selected a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!!",deals@discount-mega-sale.club,Work From Home - Earn $5000/Week,212,1,5,18,Ham
EML00093,"FINAL NOTICE regarding your payment a brand new iPhone 15 Pro absolutely free of cost. Click the link below to claim your prize before it expires! Confirm here: http://account-alert-update.site/confirm Time is running out, claim your reward TODAY.",deals@discount-mega-sale.club,FINAL NOTICE: Account Suspension,247,1,1,21,Ham
EML00094,"Exclusive deal available for 24 hours only a cash prize of $1,000,000 in our international lottery. Send your bank details to process the transfer immediately. Call our toll-free hotline NOW or click http://winner-notification.club/claim 100% guaranteed, no risk involved!",winner@international-lottery.org,Claim Your FREE Reward Today,272,1,3,6,Ham
EML00095,"Winner Notification: You have WON cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Visit http://free-money-fast.biz/claim to proceed immediately. Time is running out, claim your reward TODAY.",support@bank-security-alert.info,Work From Home - Earn $5000/Week,247,1,0,13,Ham
EML00096,"Dear Manager, I hope this email finds you well. I wanted to follow up on the meeting we had last week regarding the project timeline. Regards, Divya Krishnan",professor.rao@college.edu,Quarterly Report Attached,157,0,0,7,Spam
EML00097,"Good morning, Limited seats left for our upcoming webinar, register using the link below. Thanks and regards, Karthik Raj",professor.rao@college.edu,Weekly Team Meeting Reminder,121,0,0,5,Spam
EML00098,"Good morning, I would like to schedule a call to discuss the recent changes in the project scope. Please let me know your availability this week.",rahul.verma@university.edu,Project Timeline Update,145,0,0,3,Spam
EML00099,"Claim your FREE reward now your recent order requires additional verification before it can be processed further. Visit http://free-money-fast.biz/claim to proceed immediately. Time is running out, claim your reward TODAY.",no-reply@free-money-fast.biz,Exclusive Investment Opportunity,222,1,0,12,Ham
EML00100,"Act now before it's too late an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Call our toll-free hotline NOW or click http://winner-notification.club/claim 100% guaranteed, no risk involved!",deals@discount-mega-sale.club,Claim Your FREE Reward Today,257,1,4,6,Ham
EML00101,Winner Notification: You have WON we noticed unusual activity on your account and recommend confirming your details as a precaution.  Don't miss this once in a lifetime opportunity!,hr@work-from-home-jobs.top,FREE iPhone 15 Pro - Claim Now,181,0,1,7,Ham
EML00102,"FINAL NOTICE regarding your payment our records show your subscription is about to expire, please update your payment information soon.  Don't miss this once in a lifetime opportunity!",support@bank-security-alert.info,Exclusive Investment Opportunity,184,0,1,12,Ham
EML00103,"You are our lucky visitor today we noticed unusual activity on your account and recommend confirming your details as a precaution. Visit http://free-money-fast.biz/claim to proceed immediately. 100% guaranteed, no risk involved!",deals@discount-mega-sale.club,Congratulations Lucky Winner,228,1,2,2,Ham
EML00104,"Dear Sir/Madam, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Looking forward to your",support@onlinestore.com,Syllabus for Upcoming Semester,167,0,0,6,Spam
EML00105,Your package could not be delivered a chance to win a brand new car by simply clicking the link and filling out a short form with your details. Reply immediately to http://job-offer-cash.click/apply with your bank details.,winner@international-lottery.org,URGENT: Verify Your Account Now,222,1,0,2,Ham
EML00106,URGENT: Your account requires immediate action a chance to win a brand new car by simply clicking  the link and filling out a short form with your details. Confirm here: http://account-alert-update.site/confirm Hurry! Only a few slots remaining!!!,admin@account-verification.site,Work From Home - Earn $5000/Week,247,1,4,10,Ham
EML00107,"FINAL NOTICE regarding your payment your recent order requires additional verification before it can be processed further. Visit http://free-money-fast.biz/claim to proceed immediately. Time is running out, claim your reward TODAY.",support@bank-security-alert.info,Limited Time Offer - 90% OFF,231,1,0,18,Ham
EML00108,"FINAL NOTICE regarding your payment our records show your subscription is about to expire, please update your payment information soon. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! 100% guaranteed,",winner@international-lottery.org,Your Refund Is Waiting,225,1,4,12,Ham
EML00109,"Hello, Your order has been shipped and is expected to arrive within 3-5 business days. Track your shipment using the order ID provided. Regards, Rahul Verma",rahul.verma@university.edu,Project Timeline Update,156,0,0,8,Spam
EML00110,You are our lucky visitor today a refund of your recent purchase. Please confirm your credit card number and CVV to process the refund. Follow this link http://secure-bank-verify.info/login to verify. This offer will not be repeated.,admin@account-verification.site,Congratulations Lucky Winner,233,1,0,7,Ham
EML00111,"URGENT: Your account requires immediate action cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Download now: http://get-rich-quick.top/offer Time is running out, claim your reward TODAY.",admin@account-verification.site,Work From Home - Earn $5000/Week,243,1,0,14,Ham
EML00112,"Your package could not be delivered a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Reply immediately to http://job-offer-cash.click/apply with your bank details. 100% guaranteed, no risk involved!",support@bank-security-alert.info,URGENT: Verify Your Account Now,249,1,3,3,Ham
EML00113,"Good morning, Could you please share the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Kind regards, Suresh Kumar",team@workplace.net,Your Order Has Been Shipped,162,0,0,6,Spam
EML00114,CONGRATULATIONS! You have been selected access to premium software completely free. Download the attached file now to activate your license. Call our toll-free hotline NOW or click http://winner-notification.club/claim,support@bank-security-alert.info,Claim Your FREE Reward Today,218,1,1,21,Ham
EML00115,"Claim your FREE reward now a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Download now: http://get-rich-quick.top/offer",deals@discount-mega-sale.club,"You Have WON $1,000,000!!!",172,1,1,7,Ham
EML00116,"Dear Customer, I would like to schedule a call to discuss  the recent changes in the project scope. Please let me know your availability this week. Warm regards, Suresh Kumar",accounts@finance-services.com,Syllabus for Upcoming Semester,174,0,0,7,Spam
EML00117,Winner Notification: You have WON we noticed unusual activity on your account and recommend confirming your details as a precaution. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Hurry! Only a few slots remaining!!!,no-reply@free-money-fast.biz,"You Have WON $1,000,000!!!",242,1,7,9,Ham
EML00118,"Claim your FREE reward now a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Download now: http://get-rich-quick.top/offer This offer will not be repeated. Act NOW!!!",hr@work-from-home-jobs.top,Claim Your FREE Reward Today,234,1,4,12,Ham
EML00119,"Act now before it's too late a cash prize of $1,000,000 in our international lottery. Send your bank details to process the transfer immediately. Download now: http://get-rich-quick.top/offer Don't miss this once in a lifetime opportunity!",hr@work-from-home-jobs.top,Limited Time Offer - 90% OFF,239,1,2,4,Ham
EML00120,Your package could not be delivered a brand new iPhone 15 Pro absolutely free of cost. Click the link below to claim your prize before it expires! Reply immediately to http://job-offer-cash.click/apply with your bank details. This offer will not be repeated. Act NOW!!!,winner@international-lottery.org,Work From Home - Earn $5000/Week,269,1,4,10,Ham
EML00121,"Winner Notification: You have WON our records show your subscription is about to expire, please update your payment information soon.  This offer will not be repeated. Act NOW!!!",prizeteam@lottery-winners.win,FINAL NOTICE: Account Suspension,178,0,3,11,Ham
